song_id,title,hidden,author,themes,ccli_number,last_scheduled_at,last_used_at,recent_uses_found,recent_use_1,recent_use_2,recent_use_3,days_since_last_use,usage_band,recency_band,bpm,length_seconds,meter,arrangement_name
25995170,My Redeemer Lives,False,Reuben Morgan,"vision of you, , Resurrection, Declaration",2397964,2024-03-31T10:00:00Z,2024-03-31T10:00:00Z,1,2024-03-31T10:00:00Z,,,698,Infrequent,365d+,,270,4/4,Default Arrangement
25806964,Blazing Light of God,False,,,,2026-03-29T10:00:00Z,2024-02-25T10:00:00Z,1,2024-02-25T10:00:00Z,,,733,Infrequent,365d+,,360,4/4,Default Arrangement
25758901,Jesus Saves,False,Priscilla J. Owens and William James Kirkpatrick,"Missions, Evangelism, Declaration",56053,2024-02-18T10:00:00Z,2024-02-18T10:00:00Z,1,2024-02-18T10:00:00Z,,,740,Infrequent,365d+,,210,3/4,Default Arrangement
25758918,Nobody,False,"Bernie Herms, Matthew West, and John Mark Hall",,7121827,2024-02-18T10:00:00Z,2024-02-18T10:00:00Z,1,2024-02-18T10:00:00Z,,,740,Infrequent,365d+,,300,4/4,Default Arrangement
25721765,This I Believe,False,Ben Fielding and Matt Crocker,,7018338,2024-02-11T10:00:00Z,2024-02-11T10:00:00Z,1,2024-02-11T10:00:00Z,,,747,Infrequent,365d+,,300,4/4,Default Arrangement
25646587,You've Got A Friend In Jesus,False,,,,2024-01-28T10:00:00Z,2024-01-28T10:00:00Z,1,2024-01-28T10:00:00Z,,,761,Infrequent,365d+,,150,4/4,Default Arrangement
18908438,Do It Again,False,"Chris Brown, Mack Brock, Steven Furtick, and Matt Redman",,7067555,2023-12-31T10:00:00Z,2023-12-31T10:00:00Z,1,2023-12-31T10:00:00Z,,,789,Infrequent,365d+,88,360,4/4,Elevation Collective
25491635,Rest On Us,False,"Brandon Lake, Elyssa Smith, Harvest Bashta, Jonathan Jay, Rebekah White, and Tony Brown",,7126736,2023-12-31T10:00:00Z,2023-12-31T10:00:00Z,1,2023-12-31T10:00:00Z,,,789,Infrequent,365d+,,0,,Default Arrangement
25389575,Let It Rise,False,Holland Davis,"Call to Worship, Celebration, Glory, Worship, Joy, Praise",2240585,2023-12-17T10:00:00Z,2023-12-17T10:00:00Z,1,2023-12-17T10:00:00Z,,,803,Infrequent,365d+,,300,,Big Daddy Weave version
25389458,Stained Glass - Keith Green,False,,,,2023-12-17T10:00:00Z,2023-12-17T10:00:00Z,1,2023-12-17T10:00:00Z,,,803,Infrequent,365d+,,300,4/4,Default Arrangement
25368509,Breath Of Heaven (Mary's Song),False,Amy Grant and Chris Eaton,"Mercy, Heaven, Holy Spirit, Prayer",1128784,2023-12-10T10:00:00Z,2023-12-10T10:00:00Z,1,2023-12-10T10:00:00Z,,,810,Infrequent,365d+,,360,,Default Arrangement
25361911,Emmanuel,False,Michael W. Smith,", Praise, Worship",81468,2023-12-10T10:00:00Z,2023-12-10T10:00:00Z,1,2023-12-10T10:00:00Z,,,810,Infrequent,365d+,,240,4/4,Default Arrangement
25129316,Healer,False,Mike Guglielmucci,"Sufficiency, Healing, , God's Attributes",4873981,2023-10-27T21:00:00Z,2023-10-27T21:00:00Z,1,2023-10-27T21:00:00Z,,,854,Infrequent,365d+,,0,,Default Arrangement
